headline,publication_date,contents,comments
Politicians will prove source of their wealth under my presidency – GUM leader,"Politics of Friday,  2 August 2024","Reverend Christian Kwabena Andrews, Founder and Leader of the Ghana Union Movement (GUM), has promised to promote accountability among political actors if elected as President in the 2024 General Election.He expressed concern about the “unexplained wealth” of some politicians and assured that his government would compel affluent politicians to declare their assets and prove their source of wealth.In a news brief shared with the Ghana News Agency, Rev. Andrews said the lack of accountability among the political class fueled corruption and encouraged the desire to venture into politics for wealth accumulation.“Politicians will be made to prove their source of wealth when I become President. We must ensure that politicians account to the people for the source of their wealth beyond what they legitimately earn for serving the country,” he said.The GUM placed third in the 2020 presidential election, beating the traditional Convention People’s Party, People’s National Convention, and the Progressive People’s Party. The party garnered 105,548 votes, representing 0.805 percent of the total ballots cast.Rev. Andrews said GUM would build on its achievements in 2020 and work assiduously to affect the 2024 presidential and parliamentary elections.The party has promised to establish factories in every region and operate a free port to boost economic activities and improve the living conditions of the people. “I will focus on the ceramic manufacturing industry when I become President,” Rev. Andrews said.",EC is failing in one of its core mandates; regulate the political parties. Seriously most of these smaller parties do not qualify so why is EC allowing them to spew untamed emotions into our ears and run our democracy into ridicule
2024 Election: Political actors urged to build public trust,"Politics of Friday,  2 August 2024","The Rev. Dr. Fred Deegbe, Senior Pastor of Calvary Baptist Church, has asked political actors in the upcoming elections to build public trust to promote the social cohesion required for development.He said the trust of citizens in the State and its institutions – the Executive, Legislature, Judiciary, and Security Agencies – is an essential component of social cohesion and paramount in achieving the development objectives of the country.“The trust of citizens in the political system and its institutions is paramount. Political trust is crucial in the sustainability of the country’s political system, as political parties play a critical role in building the narrative and behaviors that build trust among citizens.""Rev. Deegbe made this call at the closing ceremony of the Sahel Peace Initiative (SPI) national forum on social cohesion, security, and peaceful elections, on the theme, “Building a More Peaceful and Cohesive Ghana: A Collective Endeavor,” on Wednesday in Accra.He said when political leaders acted transparently with integrity and respect for public norms, they fostered trust in society, saying, “Trust is critical for bringing various groups together and creating a sense of belonging.”He noted that issues of perceived corruption among the political class were a stumbling block to achieving trust, apart from the utterances of the political class, which also lowered trust in public institutions.Rev. Deegbe said another way to build trust was the promotion of inclusivity, equity, and social justice.“Ghana is made up of various groups, and political actors are responsible for addressing the inequalities by ensuring equitable distribution of resources and opportunities.""Political actors must ensure that all, irrespective of religion and ethnicity, feel represented and appreciated. Providing outlets for various groupings to be heard will also help create a more inclusive society where everyone has a stake in the State’s prosperity.”He added that to achieve the level of social cohesion needed, political actors must promote dialogue, candid communication, and reduce tension.Rev. Deegbe said though Ghana had enjoyed 30 years of democracy, gaps in the system had weakened trust in State institutions; hence, political actors must make it their priority to address the issues of mistrust.“The unity of Ghana must be sustained for development, and political actors must take the lead.”Most Rev. Charles Gabriel Palmer-Buckle, Metropolitan Archbishop of the Catholic Archdiocese of Cape Coast, said as Ghana prepared for the General Election, it was important to look at what had happened in and around Africa, particularly the sub-region, during elections for lessons.He said the aim of the conference was for all stakeholders to know that peace was a common good, which could not be sacrificed on the altar of any type of expediency and called for inclusivity, dialogue, tolerance, and due respect for institutional authority.On why the Catholic Church was spearheading the initiative, he said the Catholic Church’s involvement in ensuring peace was based on scriptures and that the Church had helped build peace for over 2000 years, saying it was part of its mandate to build peace.",NPP politicians are beyound redemption. They are just too corrupt.  They act in unison to destroy our country.  The stealing is too much.  Afenyo Marking has a galamsey site that he clains is regular.  He has to come clean.
2024 Election: Bernard Mornah announces presidential ambition; outlines nine-point agenda,"Politics of Friday,  2 August 2024","Bernard Anbatayela Mornah, a former Chairman of the People’s National Convention (PNC), has announced his ambition to contest the 2024 presidential election on the party's ticket. He outlined a nine-point agenda to transform the fortunes of the country should he win the PNC’s Flagbearer slot and subsequently be elected as President.At a press launch, he said his vision to lead Ghana stemmed from the inspirations of former late Presidents – Dr. Kwame Nkrumah and Dr. Hilla Liman, whose leaderships transformed the country significantly.Mornah said Ghana needed a new direction and leadership that modeled Dr. Kwame Nkrumah’s government, which was run on the principles of selfless service, industrialization, incorruptibility, and development.“My vision is to create a Ghana where everyone, including the youth and women, can achieve their full potential. We need a new direction that offers clear hope, a new leader who is honest and incorruptible, and a new Ghana that is law-abiding and inclusive,” he said.Mornah said his development drive would be anchored on a nine-point agenda, which includes creating a food-secured nation and prosperous agro-economy; ensuring well-skilled, value-driven professionals; and creating a gold economy.Others are building an all-inclusive healthy society; ensuring prudent management of the economy with strong fiscal stability; making industrialization the fulcrum of job creation; and building a safe, secure, and well-governed country.The rest are building a responsible and respectful nation that would champion the vision of the forebearers of African liberation; prudently managing an economy where revenues are equitably allocated; and building a well-connected country where goods and technology are responsive to current and future needs.“I ask and appeal to you to give the vehicle of Ghana to me to drive. I would lead this country to meet the needs of our people so that the ordinary man and woman is well fed, clothed, and housed,” Mr. Mornah said.",Nkwaseasem sei
"You take chiefs in the North for granted - Kwamena Duncan blast Mahama, NDC","Politics of Friday,  2 August 2024","Kwamena Duncan has descended heavily on former President John Dramani Mahama over the launch of hisNational Democratic Congress' national campaign on Saturday, July 27.TheNational Democratic Congressheld their campaign launch at the Tamale Jubilee Park and urged the Ghanaian electorate to bring back their leader, John Mahama, into power.The launch saw in attendance members of the party, MPs, and celebrities, including broadcasters Kofi Okyere Darko (KOD) and Shamima Muslim, and a gathering of NDC supporters.Commenting on the event during the ""Kokrokoo"" discussion programme on Peace FM, Kwamena Duncan described Mr. Mahama as being disrespectful to the traditional leaders in the North.According to him, the former President, unlike Dr. Mahamudu Bawumia, failed to visit the traditional authorities to inform them prior to their campaign launch.This neglect of the traditional leaders, to Kwamena Duncan, shows the true colors of Mahama and his NDC.""They have not also given any respect to the traditional authorities,"" he told Kwami Sefa Kayi, adding, ""President Mahama, you went to launch your national campaign, I never saw any visit to any of the paramountcies in the five Northern Regions that, look, this is what we want to do...because he takes them for granted.""","Iam an NPP SUPPORTER, BUT WHO APPOINTED KWAMENA DUNCAN AS THE SPOKESMAN FOR THE PARAMOUNT CHIEFS IN THE NORTH ? ARE THE  CHIEFS COMPLAINING?"
2024 Elections: Asiedu Nketiah donates motorbikes to boost campaign efforts in Eastern Region,"Politics of Friday,  2 August 2024","JohnsonAsiedu Nketiah, National Chairman of theNational Democratic Congress(NDC), has donated 18 motorbikes to the party’s Eastern Regional branch to support its campaign activities.The donation adds to the fleet of motorbikes and campaign logistics already provided to the party’s regional branches by the flagbearer of the party, John Mahama.Receiving the motorbikes, Regional Organizer Hackman Kabore thanked Mr. Johnson Nketiah for his contribution and assured him that the bikes would be used intensively to campaign for the NDC’s success in the December 7 elections.The party aims to significantly increase its vote share from the 2020 Presidential election, where incumbent President Nana Addo Dankwa Akufo-Addo of the New Patriotic Party (NPP) won with 60.08% of the vote, compared to John Dramani Mahama’s 30.08% for the NDC.Hackman Kabore also underscored the party’s commitment to preventing vote manipulation and rigging.He noted that measures are in place to empower citizens to protect their ballots and resist intimidation from security forces, ensuring a fair electoral process.",Where did you get the money from. chief thief
Wontumi fires back at former Deputy Minister of Works and Housing over economic claims,"Politics of Friday,  2 August 2024","The Ashanti Regional Chairman of the ruling New Patriotic Party (NPP), Bernard Antwi Boasiako, popularly known in party politics as ‘Chairman Wontumi’, has responded to claims made by former Deputy Minister of Works and Housing, Samuel Yaw Adusei, regarding the state of the Ghanaian economy.Adusei, who was in the Ashanti Region for media engagements, criticized the NPP government’s economic management, citing a debt-to-GDP ratio of 92% and an inflation rate of 54%.He also highlighted the achievements of former President John Mahama in the Ashanti Region.Wontumi, in a series of media appearances, has countered Adusei’s claims, defending the NPP government’s economic record and questioning Adusei’s credibility and basis for his claims.The NPP chairman accused Adusei of being dishonest and trying to deceive Ghanaians to create sympathy for the NDC’s flagbearer, John Dramani Mahama, to gain favor from electorates in the region.The exchange between Adusei and Wontumi has sparked a heated debate on the state of Ghana’s economy and the performance of the NPP government.As the 2024 elections approach, the discussion is expected to intensify, with both parties presenting their cases to the electorate.","There is no doubts in my mind NPP is fully aware they are on their way to opposition. Their apprehension and uneasiness are conspicuous. As we speak now, Akufo Addo who journey to the presidency was fueled by unprecedented violence, generation and spread of palpable falsehoods, misinformation and disinformation and bad labeling and name calling of opponents has all of a sudden turned peace, clean and truthful political campaign advocate. While he was saying that that his Bawumia is up in the north lying about everything, everybody except himself"
24-hour economy is possible - NDC MP,"Politics of Thursday,  1 August 2024","Dzifa Abla Gomashie, the Member of Parliament for Ketu South, has expressed optimism about the potential impact of the ‘24-hour economy’ policy in creating job opportunities for the youth. She believes that the policy will significantly revive nightlife, especially within the creative industry.“As someone coming from the creative industry, I have lived and operated in it and understand what it means to work 24 hours. The nightlife, where you get everything you want just as in the daytime, will bring improvement to our economy,” she said.She stated that it was a well-thought-out policy that could create room to absorb the teeming youth into employment.In an interview with the Ghana News Agency, contributing to its Gender-Desk profiling of Election 2024 female candidates, Madam Gomashie called on all well-meaning Ghanaians to support the policy to turn around the economy, which is critical to the survival and sustenance of every Ghanaian.“It’s not about NDC, but it’s all about what we need as a country now.”Madam Gomashie entered Parliament in 2020 to represent the people of Ketu South in the Volta Region as the first woman to be elected to Parliament from Southern Volta on theNational Democratic Congress(NDC) ticket.She is contesting for the second time in the December 2024 polls. She is one of the 40 women who entered Parliament in 2020 and is privileged to be among the 29 who were re-elected at the primaries of their respective constituencies.For the past four years, the MP has invested in support systems to facilitate education for her constituents to build human capacity, which in turn would impact the local economy and development. She has also instituted a Vocational and Technical Skills training program to train others, especially young women, to acquire skills to set up their own businesses and sources of livelihood.She is hopeful that with hard work and commitment, she will win the elections convincingly, considering the fact that in the first party primaries, the vote difference between her and her contender was about 31. However, in the 2024 primaries, to seal her candidature for the second time, she had more than 632 votes difference than her closest contender.Speaking on women’s leadership, she called for a deliberate attempt by the state to put measures in place to ensure that women’s participation in governance and decision-making is increased because “we need the feminine side in legislating laws, which affect everyone in the country.”Madam Dzifa Gomashie is a celebrated Ghanaian actress, producer, and scriptwriter who has worked in the creative arts industry for more than two decades and has produced and directed many Ghanaian television productions.She is a politician and was appointed as Deputy Minister of Tourism, Culture, and Creative Arts by Former President Mahama from 2013 to 2017. She is also a queen mother with the name Maama Dzramado I in the Aflao Traditional Area. Prior to that, she worked with the 31st December Women’s Movement and as a government appointee at the Ketu District Assembly.","I still don't get it when some people have intentionally refused think. Or deliberately decided to object to the 24-hour economy system publicly but praise it when we meet in private.For instance, one of the potential benefits of 24-hour economy will be the removal of the congestion of on our roads. The daily morning and evening rush hour traffic jams during working days hours will be distributed into the 3 hour shift system instead of the 1 whole shift. Such that factories and industrial sectors could as well choose to include weekends, not under compulsion though, to their shift system to increase productivity.For instance, the number of products produced in the current 8 hours will be multiplied by three folds per each week. Same will be to the number of workers in production line. This becomes more beneficial when weekends are included.Harmless sarcastic question. Have we asked ourselves why most of our pastors increased their pastor - congregational  contact hours such daily fasting and prayers, deliverance and counselling, etc. instead of the usual Sundays church Services? I am not suggesting they have bad intentions but evidence available suggests seeds sowing, offertory, sales of religious items such as anointing oils, holy water, handkerchiefs, Obinim stickers, etc. also increase in corresponding folds."
Let’s avoid voter apathy in the 2024 elections -  Ga Mantse,"Politics of Thursday,  1 August 2024","The Ga Mantse, King Tackie Teiko Tsuru II, has appealed to Ghanaians to participate actively in the 2024 general elections.Speaking at the Inaugural Ghana Report Summit  in Accra on August  1, 2024, he said all stakeholders, including the public, have a role to play in making the elections peaceful“We must all work hard to make 2024 elections peaceful. I appeal to Ghanaians to vote solemnly and avoid voter apathy. We need to perform better and improve the electoral process. The EC has a responsibility to Ghanaians to ensure peaceful elections. They should carry out these expectations with professionalism as we exercise our mandate. Political parties should accept the results when the people have spoken,"" he said.He also urged political parties to engage in informed and respectful dialogue during the campaigns.“Let us engage in informed and respectful dialogue; let's build a society where every voice is heard. Democracy is a journey; let us embrace this journey with hope, devoid of violence and hate speech, to build a future for Ghana. Let's continue to show the world we can be counted upon when it comes to democracy,"" he stated.JKB/NOQWatch the video below:","Such caution should be directed to NDC because according to NDC, the next election is them winning or nothing else. Their top leaders have vowed to make Ghana ungovernable should they lose the election."
Persons accusing Attorney General of causing financial loss are ignorant - Kwamena Duncan,"Politics of Thursday,  1 August 2024","A former Central Regional Chairman of theNew Patriotic Party(NPP), Kwamena Duncan, has said the Attorney General, Godfred Dame, cannot be accused of causing financial loss to the state.The Attorney General has been heavily criticized for being careless and causing financial loss to the state after he refused to accept plea bargaining in the €2.37 million ambulance case.A former Deputy Minister for Information under the erstwhile John Dramani Mahama administration, Felix Kwakye Ofosu, in a post shared on X on July 30, 2024, said that from the inception of the trial, Big Sea, the manufacturers of the vehicles, were ready to make a refund of the amount paid for the ambulances to be returned.However, he said, the Attorney General declined the offer due to his intention of imprisoning an innocent man.""At the beginning of the trial, Big Sea, the manufacturers of the ambulances, offered to refund the amount paid to them so the ambulances could be returned to them. Dame refused because of a callous desire to imprison an innocent man,"" Kwakye Ofosu said.But commenting on the issue on Peace FM, Kwamena Duncan said the Attorney General's accusation is not backed by law and that they are doing so out of ignorance.""If you look at the criminal and other offences procedure amendment act, 2022, it allows for someone who has been charged or the prosecution not to go through the full trial. The plea bargaining negotiation referred to under Section 162A may be initiated by an accused person, or counsel for the accused person or a prosecutor in charge of the prosecution of an accused person. There can never be any negotiation between a prosecutor and a third party.""What we heard in this case is that Big Sea wanted to pay some amount of money, but Big Sea is not a party to this criminal prosecution. Under the law, the prosecutor cannot initiate plea bargaining with a third party. There was no way the Attorney General, being the prosecutor in the matter, could have entered into a plea bargaining with a third party when the law is so clear. Sometimes, when you listen to the caliber of people wrongly accusing the Attorney General, you can only forgive because probably they are saying so out of ignorance,"" Kwamena Duncan stated, according to a video shared by Peace FM on YouTube.KA/AEWatch the latest episode of Everyday People on GhanaWeb TV below:Ghana’s leading digital news platform, GhanaWeb, in conjunction with the Korle-Bu Teaching Hospital, is embarking on an aggressive campaign which is geared towards ensuring that parliament passes comprehensive legislation to guide organ harvesting, organ donation, and organ transplantation in the country.","Is it not the same law that says when an accussed person has a lawyer, a prosecutor can not deal directly with the accused without the consent of his lawyer? Dame did exactly the opposite. Were you sleeping?"
Examine your life after voting NDC for 32 years and vote NPP - Oti minister,"Politics of Thursday,  1 August 2024","ASP Daniel Machator (Rtd), the Oti Regional Minister, has asked the residents of the region to critically examine their lives and development and renew the mandate of theNew Patriotic Party(NPP) government come December 7.He said the NPP government has carried out massive development projects in the region, so their continued voting for a party that cared less about their community’s development and their personal lives was not worth voting for.ASP Machator gave this advice at a community gathering at Gyamonome, a farming community in the Kadjebi District of the Oti Region, on Tuesday, July 30.The Regional Minister said the introduction of the Free Senior High School policy by Nana Addo Dankwa Akufo-Addo has impacted positively and transformed the lives of many families across the country, and that registered voters should vote for the party during the December 7 polls to continue with the good work.He also disclosed to the gathering that the government has procured a new pair loader, grader, and truck for distribution to all the 216 metropolitan, municipal, and district assemblies in the country for roads and other developmental projects.ASP Machator (Rtd) said that to make maintenance and repair work on the machines easier, the region has recruited two people and sent them to China for training on repairing the machines when they break down, and that very soon the assemblies in the region would receive their machines.The Oti Region was the only region in the country that secured all the parliamentary seats for the NDC during the 2020 election out of the 16 regions in the country.","What have you achieved over the past 7 and a half years???? U only succeeded in plunging the country into debt crisis. Recording the worst economic indicators ever in the history of Ghana! And you want to be retained in power??? Chief, go and sleep somewhere and enjoy your ill-gotten money"
"DRIP Initiative: Akufo-Addo, Bawumia government care about Ghanaians - Tema MCE","Politics of Thursday,  1 August 2024","The Tema Metropolitan Chief Executive, Yohane Amarh Ashitey, has described President Akufo-Addo’s launch of the District Road Improvement Programme (DRIP) as the latest evidence of the government’s caring disposition towards Ghanaians.“The Akufo-Addo, Mahamudu Bawumia government cares about Ghanaians; it has demonstrated this in the past and is demonstrating it again now with DRIP,” the MCE wrote in a post on social media.According to him, the project is a masterstroke that will improve the state of roads in districts around the country so that Ghanaian localities in these districts can have more motorable roads for transportation purposes.“Through DRIP, the government is once again bringing the dividends of democracy to the doorstep of the ordinary Ghanaian,” the MCE wrote, adding, “this is what it means to be a resourceful and caring government.”President Nana Addo Dankwa Akufo-Addo launched the DRIP program on Wednesday at the Black Star Square where he also commissioned essential equipment for the take-off.According to the president, the program is purposed to enhance the country’s road networks, as part of the government’s ongoing efforts to decentralize development and improve the quality of life for Ghanaians.“Roads connect communities, facilitate trade, enable access to education and healthcare, and ultimately improve the quality of life for the citizenry,” he stated.According to the Tema MCE, the project will help create a greater sense of belonging among fellow citizens in rural Ghana who may feel a bit disconnected from the center of national development activities.“This is the Akufo-Addo/Bawumia government saying that we know that the roads for our folks in the districts are not as good as those in the regions and cities; however, they are equally important and deserve the best of roads.”Yohane Amarh Ashitey stated that the program will massively improve the country’s road connectivity and help bolster Ghana’s image as a lower middle-income country.",These will be lame ducks. They will not even common fund to buy fuel for them. It is project to resource party contractors
Naana Opoku-Agyemang is a square peg in a round hole - Allotey Jacobs,"Politics of Thursday,  1 August 2024","Former Central Regional Chairman of theNational Democratic Congress(NDC), Allotey Jacobs, has said the running mate of the NDC, Prof. Naana Jane Opoku-Agyemang lacks the character and qualities of a true politician.According to the social commentator, Prof. Naana Opoku-Agyemang, through her public speaking on political platforms, has shown that she is yet to transition from an academic to a politician.Commenting on the NDC's campaign launch in Tamale during a discussion on Peace FM, Allotey Jacobs said it was wrong for the running mate to be allowed to speak at the rally.""One is born with the ability to speak on political platform, that art cannot be learnt. Among the persons who spoke during the NDC campaign launch, the only person who could rap the crowd was former President John Mahama. The rest do not know how to speak on political platforms.  The running mate should not have been allowed to speak. I respect that woman a lot but she is not a politician. She is a square peg in a round hole, I am telling you the truth. She portrayed herself as a lecturer on a political platform speaking about morale issues. It was not good,"" he said in a video shared by Peace FM on YouTube.The NDC, on Saturday, July 27, 2024, launched its campaign for the 2024 general elections with a resounding call on the citizenry to vote for a change of government on December 7.The party has said it is poised to wrestle power from the governing New Patriotic Party(NPP) to put the country's struggling economy back on the track of development.KA/AEWatch the latest episode of Everyday People on GhanaWeb TV below:Ghana’s leading digital news platform, GhanaWeb, in conjunction with the Korle-Bu Teaching Hospital, is embarking on an aggressive campaign which is geared towards ensuring that parliament passes comprehensive legislation to guide organ harvesting, organ donation, and organ transplantation in the country.",Gyimie paaa nie. Who told this nincompoop Allotey Jacobs that Ghanaians  are looking for who is a politician or not. Are they not the corrupt ones? Politicians  talk and you idiots cheer fiiiii like animals in the spectator stands. Apuuu
Farouk Aliu Mahama commends Akufo-Addo for Agenda 111 initiative,"Politics of Thursday,  1 August 2024","The Member of Parliament (MP) for Yendi, Farouk Aliu Mahama, has praised the government's Agenda 111 initiative, asserting that it deserves commendation.In his recent comments at the Government Assurances Committee on Thursday, August 1, Farouk Mahama stressed the positive impact of the initiative on the country’s healthcare infrastructure.He expressed admiration for PresidentNana Addo Dankwa Akufo-Addo’s leadership in spearheading the ambitious project aimed at enhancing healthcare delivery across Ghana.The Agenda 111 initiative focuses on the construction of 111 district hospitals throughout the nation, which is expected to significantly improve access to medical services, particularly in underserved areas.The MP underscored that this initiative aligns with the government’s vision of strengthening the healthcare system and addressing long-standing disparities in medical access.He emphasised that the new facilities will not only provide essential health services but also create job opportunities and contribute to the overall economic development of the regions they serve.The project is seen as a major step towards achieving equitable healthcare access for all Ghanaians.In his statement, Mahama acknowledged the efforts of President Akufo-Addo and his administration in pushing forward with such a significant project.He noted that the initiative reflects a commitment to improving public health and ensuring that every citizen has access to quality healthcare services, irrespective of their location.""Honourable Minister, I must first commend the government about the Agenda 111 project and the Akufo-Addo government must be commended. But, Minister, you had issues and you didn’t envisage that there will these challenges. So I want to know in terms of your priorities, how you take the project and desire to ensure they are completed,"" he stated.AE","We DESIGN and BUILD QUALITY Websites such as:- Business / cooperate websites- eCommerce/Online store Websites- Education/NGO/Church Websites- News/Blog/Media WebsitesPRICE: 1,500gh. Call/WhatsApp. 0501796870 for more info.   Dheheb"
EC opens nomination for 2024 presidential and parliamentary elections,"Politics of Thursday,  1 August 2024","TheElectoral Commissionof Ghana (EC) has opened nominations for the upcoming December 7, 2024, presidential and parliamentary elections.In a statement released on Thursday, August 1, 2024, the EC announced that individuals interested in participating in the presidential and parliamentary polls should download the nomination form from its website (https://ec.gov.gh/forms/) starting on Friday, August 2, 2024.The commission specified that it will be accepting completed nomination forms from Monday, September 9, 2024, to Friday, September 13, 2024.Regarding the presidential election, the EC mentioned that completed nomination forms must be signed by the candidate and at least two registered voters from each district assembly in the country.Additionally, the completed form should indicate the vice-presidential candidate of the nominee.The EC also stated that upon submission of the completed form at its headquarters in Accra, candidates are required to pay GH¢100,000 as filing fees.For the parliamentary elections, the EC explained that completed forms must be ""witnessed by the signature or mark of two registered voters as Proposer and Seconder supported by 18 other registered voters in the Constituency who signed the nomination forms for the candidate.""Furthermore, upon submission of the nomination forms to the returning officer of the constituency, parliamentary candidate nominees are expected to pay GH¢10,000 as a filing fee, which should be paid via a banker's draft addressed to the commission.Read the full details of the nomination processes below:BAI/MAWatch the latest episode of Everyday People on GhanaWeb TV below:Ghana’s leading digital news platform, GhanaWeb, in conjunction with the Korle-Bu Teaching Hospital, is embarking on an aggressive campaign which is geared towards ensuring that parliament passes comprehensive legislation to guide organ harvesting, organ donation, and organ transplantation in the country.",We help secure your perimeter with modern ELECTRIC FENCE SYSTEMS that supports alarm system and backup battery system. We sell and install ELECTRIC FENCE SYSTEMS & CCTV CAMERAS. Call/WhatsApp: 0501796870 for more info. fdsfeqwe
Court of Appeal Ruling: Come and let's pop champagne - Allotey Jacobs tells Ato Forson,"Politics of Thursday,  1 August 2024","The former Central Regional Chairman of the opposition National Democratic Congress, Allotey Jacobs, expressed his excitement following the verdict by the Court of Appeal to acquit and discharge Dr.Cassiel Ato Forsonand Richard Jakpa.Appearing as a panellist on Peace FM’s Kokrokoo show, Allotey Jacobs stated that the ruling was worthy of celebration. He then invited the Minority Leader, Ato Forson, for a celebratory moment to mark the victorious occasion.""Ato Baah Forson, bring your wine, let us celebrate and make merry... I’m very happy,"" he said.On Tuesday, July 30, the Court of Appeal acquitted and discharged Ato Forson and Richard Jakpa of charges accusing them of causing financial loss of €2.37 million to the State.Dr. Forson had been on trial for the past two years on various counts of willfully causing financial loss to the state and misapplying public property in a deal to purchase 200 ambulances for the State from 2014 to 2016 during his tenure as a Deputy Minister of Finance.The court upheld the appeal filed by Ato Forson and Jakpa challenging the High Court’s decision to dismiss their submission of no case.In a 2-1 majority decision, the Court of Appeal held that the evidence provided by the prosecution during the trial was not sufficient to establish a prima facie case to warrant the accused persons to answer to the charges leveled against them.MAG/MA",Stay in your lane. It is not your business. The most dangerous old character of all times.
NDC’s campaign launch in Tamale was a panic reaction done out of fear of Bawumia - Kwamena Duncan,"Politics of Thursday,  1 August 2024","Former Central Regional Minister Kwamena Duncan has asserted that the National Campaign Launch of the oppositionNational Democratic Congress, which was held in the Northern Regional capital town, Tamale, was nothing but a panic reaction.According to him, the NDC is currently gripped with fears over the number of people attending the constituency campaigns being held by the flagbearer of theNew Patriotic Party(NPP),Dr. Mahamudu Bawumia, in the northern parts of the country.The former minister, who made these remarks in an interview on Peace FM on Wednesday, July 31, 2024, indicated that the NDC is now gravely concerned about the people of the north turning towards the ruling NPP because of the number of development projects the people of the North have seen under the Nana Addo Dankwa Akufo-Addo government.“Everyone who is being truthful would tell you that the NDC event that took place in Tamale on Saturday was a panic reaction. If you compare the number of people who attended the NDC’s National Campaign Launch and its organization to the constituency-by-constituency campaign of Bawumia, no one would tell you that there is great fear in the NDC and in John Dramani Mahama.“This is why they went to hold the event we saw in Tamale on Saturday,” he said in Twi.Kwamena Duncan, a member of the NPP, also criticized the NDC for failing to tell Ghanaians their policy objectives at the party's campaign launch.He said that the flagbearer of the party was only making promises that he would not lie to Ghanaians but failed to list alternative policies that would help improve the lives of the citizenry.Watch his remarks in the video below:BAI/MAWatch the latest episode of Everyday People on GhanaWeb TV below:Ghana’s leading digital news platform, GhanaWeb, in conjunction with the Korle-Bu Teaching Hospital, is embarking on an aggressive campaign which is geared towards ensuring that parliament passes comprehensive legislation to guide organ harvesting, organ donation, and organ transplantation in the country.",The buga buga party has no future in Ghana politics. It will collapse like a pack of cards after December election.
Akufo-Addo speaks on the 'Agyapadie' document,"Politics of Thursday,  1 August 2024","PresidentNana Addo Dankwa Akufo-Addohas addressed the widely circulated ‘Agyapadie’ document for the first time, which is believed to be a master plan of the Akyem faction within the rulingNew Patriotic Party(NPP).The 38-page document, which lacks a recognized author, prominently features the Okyenhene, Osagyefo Amoatia Ofori Panin, on the cover photo, followed by PresidentNana Addo Dankwa Akufo-Addoand his father Akufo-Addo on the subsequent page.Essentially, the book outlines a supposed strategy for complete state capture by influential individuals of Akyem descent, with the goal of establishing the Akyem kingdom as the most dominant in the country.During The Ghana Report Summit in Accra on Thursday, August 1, 2024, President Akufo-Addo addressed the 'Agyapadie' document as one of the fake news stories that have been circulated about him.He stated that the document was a fabrication by his political opponents aiming to gain political advantage.“Today, with a few months to the December 2024 election, they are at it again. A fabricated document entitled Agyapadie is being puzzled around by operatives of the opposition, as evidence of a grand scheme by my party to annex the state, the assets of the state,” he said.The president emphasized that his encounters with fake news highlight the importance of distinguishing truth from falsehood and the necessity for all of us to remain vigilant against the perils of misinformation and disinformation.About the Agyapadie document:The document, which was forwarded to the Okyenhene Ofori Panin, contained plans of the Akyem faction to maintain control of the NPP.In its ‘Table of Contents,’ the book breaks down the various aspects of Ghanaian life that the cabal, dubbed the ‘Akyem Mafia,’ intended to control, making the rest of the country compliant to the dictates of the selected Akyem.From chieftaincy to the economy, politics, and all aspects of Ghanaian society, the book outlines a detailed plan by the supposed Akyems to establish total dominance and ensure that the running of the country is done at their beck and call.The book predicts key events in the country, including changes in leadership at the Social Security and National Insurance Trust, the collapse of indigenous Ghanaian banks and financial institutions, and the deliberate and conscious positioning of the Okyenhene as the most powerful chieftaincy institution in the country, among others.In the religious sphere, certain powerful and popular men of God who were seen as opponents of the regime were going to be targeted and destroyed, while those believed to be in favor of the government were going to be supported.Okyenhene’s reaction:While officialdom has remained silent on the book and treated it with contempt, the Okyenhene has been compelled to rubbish its relevance following recent claims by some persons, particularly members of the opposition National Democratic Congress.""We saw this during the period of J.B. Danquah, and we’re seeing this now. In and around October 2016, about a few months before the election, the same document known as the ‘Akyem Project’ was in circulation.""The focus of that was to fan hatred between Okyeman and Asanteman to undermine the electoral efforts of Nana Akufo-Addo. Unfortunately for them, it came too late to the election.""This diabolic plan was revised in 2019. In the year 2020, when the Agyapa business became a political issue, the book suddenly metamorphosed into ‘Agyapadie,’"" Okyenhene stated during a State Council meeting at Kyebi in the Eastern region.“Many kingdoms have seen greater development over the years, but some people always have issues whenever the government decides to bring development to Okyeman. I have heard things in recent times. The funniest of it is that I am the richest chief in Ghana. I mean, how? Anyway, when anyone regards you as a rich person, you must receive it. I received it,” Okyenhene said with a smile.Watch Akufo-Addo's remarks in the video below:BAI/MAWatch the latest episode of Everyday People on GhanaWeb TV below:Ghana’s leading digital news platform, GhanaWeb, in conjunction with the Korle-Bu Teaching Hospital, is embarking on an aggressive campaign which is geared towards ensuring that parliament passes comprehensive legislation to guide organ harvesting, organ donation, and organ transplantation in the country.",Fabricated stories becoming reality after 4 plus years?
